Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/3/2022 19:39:57,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,Lily ,,TRUE,TRUE
11/3/2022 19:40:44,JSMN,,MILK,25%,50%,BOBA,Irene,,TRUE,TRUE
11/3/2022 19:42:08,BLK,MNGO,,100%,100%,,Maddie,,TRUE,TRUE
11/3/2022 19:42:51,BLK,ROSE,MILK,25%,50%,BOBA,katie,,TRUE,TRUE
11/3/2022 19:43:52,JSMN,WNTML,MILK,0%,75%,,Annabelle,,TRUE,TRUE
11/3/2022 19:45:42,DTYMTCH,,MILK,,25%,BOBA,Rai Rai,,TRUE,TRUE
11/3/2022 19:46:51,OLNG,,MILK,25%,100%,BOBA,Leslie,,TRUE,TRUE
11/3/2022 19:47:36,JSMN,WNTML,MILK,25%,75%,LYCHEE,Kalin,,TRUE,TRUE
11/3/2022 19:49:23,TARO,,MILK,0%,25%,BOBA,Carlos,,TRUE,TRUE
11/3/2022 19:49:49,JSMN,"ROSE, WNTML",,50%,25%,,Zoe,,TRUE,TRUE
11/3/2022 19:50:21,JSMN,,MILK,50%,50%,BOBA,Aiko,,TRUE,TRUE
11/3/2022 19:50:52,JSMN,,MILK,0%,75%,BOBA,Jasmine,,TRUE,TRUE
11/3/2022 19:51:45,JSMN,,MILK,0%,75%,BOBA,Riko,,TRUE,TRUE
11/3/2022 19:55:51,OLNG,"HNY, PCH",,25%,50%,BOBA,Laila,,TRUE,TRUE
11/3/2022 19:56:40,DTYMTCH,,MILK,,,,Shah,,TRUE,TRUE
11/3/2022 20:08:37,BLK,,MILK,25%,75%,BOBA,jacky ,,TRUE,TRUE
11/3/2022 20:09:00,BLK,,MILK,25%,75%,BOBA,jacky 2,,TRUE,TRUE
11/3/2022 20:10:56,THAI,,MILK,25%,50%,BOBA,sharleen ,,TRUE,TRUE
11/3/2022 20:11:35,JSMN,,MILK,0%,75%,BOBA,yifei ,,TRUE,TRUE
11/3/2022 20:12:20,THAI,,MILK,25%,100%,BOBA,amrit,,TRUE,TRUE
11/3/2022 20:13:10,JSMN,"MNGO, PSNFRT",,25%,75%,BOBA,Stephanie,,TRUE,TRUE
11/3/2022 20:13:52,JSMN,"KQ, LYCH",,50%,50%,BOBA,Zora ,,TRUE,TRUE
11/3/2022 20:14:40,BLK,ROSE,MILK,25%,100%,BOBA,Brody ,,TRUE,TRUE
11/3/2022 20:15:28,BLK,,MILK,25%,100%,BOBA,leo,,TRUE,TRUE
11/3/2022 20:16:23,OLNG,,MILK,50%,75%,BOBA,ruthie ,,TRUE,TRUE
11/3/2022 20:17:05,JSMN,"KQ, LYCH",,50%,100%,LYCHEE,sabrina ,,TRUE,TRUE
11/3/2022 20:18:01,BLK,ROSE,MILK,25%,100%,BOBA,Chau ,,TRUE,TRUE
11/3/2022 20:19:01,BLK,ROSE,,25%,100%,LYCHEE,Rom ,,TRUE,TRUE
11/3/2022 20:19:53,THAI,,MILK,25%,50%,BOBA,jazz 1,,TRUE,TRUE
11/3/2022 20:21:23,TARO,,MILK,0%,25%,BOBA,Charlotte,,TRUE,TRUE
11/3/2022 20:23:05,JSMN,,MILK,0%,100%,BOBA,liz ,,TRUE,TRUE
11/3/2022 20:23:54,THAI,,MILK,0%,75%,BOBA,Jaelyn,,TRUE,TRUE
11/3/2022 20:25:10,JSMN,WNTML,MILK,75%,75%,BOBA,Aisha ,,TRUE,TRUE
11/3/2022 20:26:49,BSL,,MILK,,,BOBA,sarah ,,TRUE,TRUE
11/3/2022 20:27:27,TARO,,MILK,25%,25%,BOBA,Christina ,,TRUE,TRUE
11/3/2022 20:28:26,BLK,,,50%,50%,BOBA,anna ,,TRUE,TRUE
11/3/2022 20:29:34,BLK,PCH,,25%,75%,BOBA,Sunny,,TRUE,TRUE
11/3/2022 20:31:05,OLNG,,MILK,75%,50%,BOBA,brianna ,,TRUE,TRUE
11/3/2022 20:32:11,JSMN,WNTML,MILK,25%,75%,BOBA,Bob,,TRUE,TRUE
11/3/2022 20:34:42,OLNG,"HNY, PCH",,50%,50%,BOBA,samson,,TRUE,TRUE
11/3/2022 20:35:30,JSMN,,MILK,0%,0%,BOBA,ocean,,TRUE,TRUE
11/3/2022 20:36:48,DTYMTCH,,MILK,50%,,BOBA,charlotte ,,TRUE,TRUE
11/3/2022 20:37:58,TARO,,MILK,25%,50%,BOBA,mimi ,,TRUE,TRUE
11/3/2022 20:39:04,JSMN,"MNGO, PSNFRT",,0%,50%,LYCHEE,audrey ,,TRUE,TRUE
11/3/2022 20:40:40,TARO,,Almond,25%,50%,BOBA,rachel ,,TRUE,TRUE
11/3/2022 20:41:40,DTYMTCH,,Soy,25%,,BOBA,leah ,,TRUE,TRUE
11/3/2022 20:43:28,BLK,ROSE,MILK,25%,50%,BOBA,anya,,TRUE,TRUE
11/3/2022 20:44:08,JSMN,WNTML,MILK,50%,50%,BOBA,bob,,TRUE,TRUE
11/3/2022 20:45:47,JSMN,MNGO,,25%,50%,BOBA,jina ,,TRUE,TRUE
