Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
10/25/2022 20:04:17,JSMN,"MNGO, PSNFRT",,25%,50%,POPPIN,taylor 1,,TRUE,TRUE
10/25/2022 20:05:15,JSMN,"MNGO, PSNFRT",,0%,25%,BOBA,hannah ,,TRUE,TRUE
10/25/2022 20:06:30,BLK,,Almond,25%,75%,BOBA,jacky ,,TRUE,TRUE
10/25/2022 20:07:15,JSMN,,MILK,50%,50%,BOBA,bella ,,TRUE,TRUE
10/25/2022 20:08:12,MTCH,,MILK,,,BOBA,camille 1,,TRUE,TRUE
10/25/2022 20:08:49,JSMN,"MNGO, PSNFRT",,50%,100%,BOBA,camille 2,,TRUE,TRUE
10/25/2022 20:11:12,BSL,,MILK,,,BOBA,jessie,,TRUE,TRUE
10/25/2022 20:11:59,THAI,,MILK,50%,50%,BOBA,taylor ,,TRUE,TRUE
10/25/2022 20:12:26,THAI,,MILK,25%,50%,BOBA,amanda ,,TRUE,TRUE
10/25/2022 20:12:57,OLNG,,Oat,50%,50%,BOBA,endo ,,TRUE,TRUE
10/25/2022 20:13:28,BSL,,MILK,25%,,BOBA,hadley,,TRUE,TRUE
10/25/2022 20:15:19,JSMN,PCH,,25%,50%,,serena ,,TRUE,TRUE
10/25/2022 20:16:18,OLNG,"KQ, PSNFRT",,0%,75%,,emily,,TRUE,TRUE
10/25/2022 20:16:52,BSL,,Oat,,,BOBA,caroline,,TRUE,TRUE
10/25/2022 20:17:42,JSMN,"MNGO, PSNFRT",,100%,100%,,lily,,TRUE,TRUE
10/25/2022 20:18:35,JSMN,,,,,LYCHEE,kate ,,TRUE,TRUE
10/25/2022 20:19:47,BLK,,,0%,50%,BOBA,hannah 1,,TRUE,TRUE
10/25/2022 20:20:15,DTYMTCH,,MILK,,,BOBA,hannah 2,,TRUE,TRUE
10/25/2022 20:21:08,DTYMTCH,,MILK,,,BOBA,natasha ,,TRUE,TRUE
